Front,Back,Tags,Type
"What is the ""Ad Hominem"" fallacy?","Attacking the person instead of the argument. Key clues: personal attack, irrelevant character flaws. Example: ""You can't trust her climate view—she's not a scientist.""",logical-fallacies basic,Basic
"{{c1::Ad Hominem}} — This fallacy rejects an argument by attacking the arguer's {{c1::character}} or {{c1::motives}} rather than addressing the {{c1::reasoning}}.",Ad Hominem fallacy explanation with cloze deletion,logical-fallacies cloze,Cloze
"What is the ""Straw Man"" fallacy?","Misrepresenting an opponent's position to make it easier to attack. Key clues: oversimplification, exaggeration, distorted claim. Example: ""They want better funding—so they want to bankrupt the country.""",logical-fallacies basic,Basic
"Straw Man — The arguer sets up a {{c1::weaker version}} of the opponent's position and refutes that instead of the {{c1::actual position}}.",Straw Man fallacy explanation with cloze deletion,logical-fallacies cloze,Cloze
"What is ""Appeal to Authority"" (argumentum ad verecundiam)?","Using an authority's opinion as definitive proof when the authority is not a relevant expert or consensus is lacking. Clues: reliance on status, single-source citation. Example: ""Famous actor says this supplement works, so it must.""",logical-fallacies basic,Basic
"What is ""Appeal to Ignorance"" (argumentum ad ignorantiam)?","Claiming something is true because it hasn't been proven false (or vice versa). Clues: shifting burden of proof, absence of evidence used as evidence. Example: ""No one proved aliens don't exist, so they must.""",logical-fallacies basic,Basic
"What is ""False Cause"" (post hoc ergo propter hoc)?","Assuming causation from mere sequence or correlation. Clues: temporal order equals causation, ignored confounders. Example: ""After I wore my lucky shirt we won, so the shirt caused it.""",logical-fallacies basic,Basic
"False Cause — Correlation/sequence is taken as {{c1::causation}}; ignores {{c1::other explanations}}.",False Cause fallacy explanation with cloze deletion,logical-fallacies cloze,Cloze
"What is ""Slippery Slope""?","Arguing that a small step will inevitably lead to extreme, usually negative, consequences without justification. Clues: chain of unlikely events, fear appeal. Example: ""If we allow X, soon Y will happen and society will collapse.""",logical-fallacies basic,Basic
"What is ""Begging the Question"" (circular reasoning)?","Argument's conclusion is assumed in its premises; restates rather than proves. Clues: premise = conclusion, no independent support. Example: ""I'm trustworthy because I always tell the truth.""",logical-fallacies basic,Basic
"Begging the Question — The argument {{c1::assumes}} the truth of what it {{c1::attempts to prove}}, producing a {{c1::circular}} justification.",Begging the Question fallacy explanation with cloze deletion,logical-fallacies cloze,Cloze
"What is ""False Dichotomy"" (either/or fallacy)?","Presenting only two options when more exist. Clues: forced choice, ignores middle ground. Example: ""You're either with us or against us.""",logical-fallacies basic,Basic
"What is ""Hasty Generalization""?","Drawing a broad conclusion from a small or unrepresentative sample. Clues: tiny sample, anecdotal evidence. Example: ""Met one rude person from town—everyone there must be rude.""",logical-fallacies basic,Basic
"What is ""Equivocation""?","Using a word with multiple meanings ambiguously within an argument. Clues: shifting definition,
"What is ""Equivocation""?","Using a word with multiple meanings ambiguously within an argument. Clues: shifting definition, wordplay. Example: ""A feather is light. What is light cannot be dark. So a feather cannot be dark.""",logical-fallacies basic,Basic
"What is ""Red Herring""?","Introducing an irrelevant topic to distract from the issue at hand. Clues: diversion, topic change without resolving original claim. Example: ""Why ask about taxes? Look at how patriotic I am.""",logical-fallacies basic,Basic
"What is ""Appeal to Emotion"" (pathos-based fallacy)?","Using emotions rather than valid reasons to persuade. Clues: pity, fear, flattery used as substitute for evidence. Example: ""Think of the children—vote for this law.""",logical-fallacies basic,Basic
"What is ""Bandwagon"" (appeal to popularity)?","Claiming something is true/valid because many people believe it. Clues: majority as evidence, social proof. Example: ""Everyone's investing in X, so it's a good choice.""",logical-fallacies basic,Basic
"What is ""Composition/Division"" fallacy?","Assuming what's true of parts is true of the whole (composition) or vice versa (division). Clues: unjustified transfer between part/whole. Example: ""Every player is great, so the team must be great.""",logical-fallacies basic,Basic
"What is ""Tu Quoque"" (appeal to hypocrisy)?","Dismissing criticism by accusing the critic of the same flaw instead of addressing the critique. Clues: counter-accusation, avoids substance. Example: ""You say smoking is bad, but you smoked last year.""",logical-fallacies basic,Basic
"To test for a fallacy, ask: Does the response address the {{c1::argument}} and provide {{c1::relevant evidence}}? If not, suspect a {{c1::fallacy}}.",General fallacy detection strategy with cloze deletion,logical-fallacies cloze meta-strategy,Cloze
* **Front:** **What is the central error of **Fallacy of Denying a Conjunct**?**
* **Back:** **Structure:** Not both P and Q. Not P. Therefore, Q. **Error:** It ignores the possibility that **both P and Q** could be false, or that other conditions could be in play. (e.g., If the sun isn't shining, it doesn't mean it must be raining).
wordplay. Example: "A feather is light. What is light cannot be dark. So a feather cannot be dark."",logical-fallacies basic,Basic
