Front,Back,Tags,Type
"Scenario: A politician argues, 'My opponent's tax plan is bad because they once cheated on their spouse.' Identify and explain the fallacy.","Fallacy: Ad Hominem. The argument attacks personal character instead of addressing the actual tax policy merits. Proper approach: analyze the tax plan's economic impact, projected outcomes, and potential consequences.",logical-fallacies advanced,Basic
"Analyze the logical error: 'Everyone in my social circle believes X, so X must be true.'","Fallacy: Bandwagon / Echo Chamber Effect. This commits two errors: (1) Assuming popularity equals truth, (2) Relying on a non-representative sample. Correct approach: seek diverse, independent sources and empirical evidence.",logical-fallacies advanced,Basic
"Deconstruct this argument: 'We can't trust climate science because some scientists disagree.'","Fallacy: Cherry-Picking / Appeal to Uncertainty. Scientific consensus requires evaluating overall evidence, not isolated disagreements. Proper analysis: review meta-analyses, peer-reviewed research, and majority expert opinion.",logical-fallacies advanced,Basic
"Explain the logical flaw: 'My grandfather lived to 100 eating bacon daily, so bacon is healthy.'","Fallacy: Anecdotal Evidence / Survivorship Bias. One individual's experience doesn't prove general health outcomes. Correct approach: consult longitudinal studies, controlled research, and population-level health data.",logical-fallacies advanced,Basic
"Identify the problem in this reasoning: 'If we allow same-sex marriage, next people will marry animals.'","Fallacy: Slippery Slope with False Equivalence. Argument creates an unsupported, extreme chain of hypothetical consequences. Correct approach: analyze actual proposed policy and its specific, evidence-based implications.",logical-fallacies advanced,Basic
"Analyze the logical structure: 'This supplement cured my friend's illness, so it works for everyone.'","Fallacy: Hasty Generalization / Anecdotal Evidence. One personal experience cannot prove universal efficacy. Proper evaluation requires randomized controlled trials, statistical significance, and peer-reviewed research.",logical-fallacies advanced,Basic
"Deconstruct this argument: 'Ancient civilizations did X, so X must be wise and correct.'","Fallacy: Appeal to Tradition / Genetic Fallacy. Historical practice doesn't guarantee current relevance or effectiveness. Correct approach: evaluate practices based on current evidence, ethical standards, and measurable outcomes.",logical-fallacies advanced,Basic
"Explain the logical error: 'Scientists can't explain everything about evolution, so creationism must be true.'","Fallacy: Argument from Ignorance / False Dichotomy. Gaps in scientific understanding don't automatically validate alternative explanations. Proper approach: continue scientific investigation, seek evidence, maintain intellectual humility.",logical-fallacies advanced,Basic
"Identify the problem in this reasoning: 'This new diet is popular on social media, so it must be effective.'","Fallacy: Bandwagon / Appeal to Popularity / Appeal to Novelty. Social media popularity doesn't equate to scientific validity. Correct approach: examine peer-reviewed research, consult nutrition experts, analyze controlled studies.",logical-fallacies advanced,Basic
"Analyze the logical structure: 'My cousin became successful without college, so higher education is unnecessary.'","Fallacy: Anecdotal Evidence / Survivorship Bias. One individual's path cannot generalize to population-level outcomes. Proper evaluation requires statistical analysis of educational and economic data.",logical-fallacies advanced,Basic
